cod;nome;período;valor
1100205;11;1989;181
5103403;51;1989;58
1400100;14;1989;100
3550308;35;1989;3832
2611606;26;1989;616
2507507;25;1989;118
2408102;24;1989;103
5300108;53;1989;331
2111300;21;1989;161
3205309;32;1989;107
2800308;28;1989;47
4106902;41;1989;202
1721000;17;1989;0
2304400;23;1989;340
2211001;22;1989;77
2927408;29;1989;336
5208707;52;1989;232
4205407;42;1989;26
1200401;12;1989;87
1600303;16;1989;26
1302603;13;1989;280
3106200;31;1989;239
2704302;27;1989;300
3304557;33;1989;1074
4314902;43;1989;319
1501402;15;1989;211
5002704;50;1989;115
5002704;50;1990;98
3106200;31;1990;206
2211001;22;1990;64
5208707;52;1990;175
1302603;13;1990;333
5103403;51;1990;36
3550308;35;1990;4038
2611606;26;1990;678
2507507;25;1990;113
1400100;14;1990;111
1501402;15;1990;257
4106902;41;1990;213
4314902;43;1990;300
3304557;33;1990;2731
2704302;27;1990;267
1600303;16;1990;33
2111300;21;1990;161
4205407;42;1990;27
1721000;17;1990;0
2800308;28;1990;62
3205309;32;1990;95
1200401;12;1990;54
5300108;53;1990;463
2408102;24;1990;90
1100205;11;1990;189
2304400;23;1990;288
2927408;29;1990;216
1400100;14;1991;56
5300108;53;1991;489
2408102;24;1991;86
3106200;31;1991;281
4106902;41;1991;155
4205407;42;1991;13
2927408;29;1991;39
2304400;23;1991;303
2211001;22;1991;54
2611606;26;1991;703
1721000;17;1991;2
5002704;50;1991;122
3205309;32;1991;139
3304557;33;1991;1546
5208707;52;1991;204
2800308;28;1991;92
2111300;21;1991;185
1501402;15;1991;322
1200401;12;1991;93
4314902;43;1991;252
1302603;13;1991;381
3550308;35;1991;4211
2704302;27;1991;206
2507507;25;1991;82
5103403;51;1991;50
1100205;11;1991;155
1600303;16;1991;41
4106902;41;1992;178
3106200;31;1992;252
1501402;15;1992;281
4314902;43;1992;280
2507507;25;1992;94
3304557;33;1992;915
2927408;29;1992;198
1302603;13;1992;327
4205407;42;1992;11
2704302;27;1992;203
1600303;16;1992;62
5103403;51;1992;31
1100205;11;1992;126
1200401;12;1992;97
1721000;17;1992;5
5208707;52;1992;173
2304400;23;1992;281
2800308;28;1992;218
3205309;32;1992;91
2111300;21;1992;156
2211001;22;1992;48
5300108;53;1992;424
3550308;35;1992;3891
5002704;50;1992;138
2611606;26;1992;572
2408102;24;1992;63
1400100;14;1992;63
1400100;14;1993;53
2408102;24;1993;93
2211001;22;1993;60
2704302;27;1993;216
1600303;16;1993;51
2304400;23;1993;350
3550308;35;1993;3831
2927408;29;1993;699
1200401;12;1993;103
5300108;53;1993;553
1501402;15;1993;181
2507507;25;1993;119
3304557;33;1993;1516
3106200;31;1993;263
2611606;26;1993;674
5208707;52;1993;190
5002704;50;1993;121
2111300;21;1993;127
4205407;42;1993;20
4106902;41;1993;216
3205309;32;1993;142
1302603;13;1993;313
1721000;17;1993;4
5103403;51;1993;40
4314902;43;1993;173
1100205;11;1993;119
2800308;28;1993;113
2611606;26;1994;576
5208707;52;1994;208
1200401;12;1994;77
1302603;13;1994;359
3550308;35;1994;4525
1400100;14;1994;66
3304557;33;1994;1716
1501402;15;1994;246
1600303;16;1994;93
3205309;32;1994;168
1721000;17;1994;8
5300108;53;1994;556
1100205;11;1994;117
3106200;31;1994;239
2111300;21;1994;139
2211001;22;1994;54
2927408;29;1994;827
2304400;23;1994;359
2408102;24;1994;90
2800308;28;1994;171
4106902;41;1994;230
2704302;27;1994;218
4205407;42;1994;15
4314902;43;1994;235
5002704;50;1994;144
5103403;51;1994;27
2507507;25;1994;110
1721000;17;1995;10
2111300;21;1995;184
4205407;42;1995;24
2507507;25;1995;173
2704302;27;1995;279
1600303;16;1995;95
3304557;33;1995;2514
1501402;15;1995;208
1100205;11;1995;62
5103403;51;1995;142
2304400;23;1995;504
5002704;50;1995;189
2927408;29;1995;606
5300108;53;1995;629
1200401;12;1995;80
3550308;35;1995;5373
2408102;24;1995;109
2211001;22;1995;68
1302603;13;1995;382
2611606;26;1995;685
2800308;28;1995;102
3205309;32;1995;172
3106200;31;1995;341
1400100;14;1995;69
4106902;41;1995;258
4314902;43;1995;284
5208707;52;1995;235
2611606;26;1996;714
4205407;42;1996;27
3304557;33;1996;2976
1600303;16;1996;131
3106200;31;1996;336
3205309;32;1996;146
2111300;21;1996;166
2704302;27;1996;300
2408102;24;1996;97
2507507;25;1996;185
2211001;22;1996;74
4106902;41;1996;265
1721000;17;1996;8
1501402;15;1996;216
1200401;12;1996;80
5103403;51;1996;169
1302603;13;1996;398
1400100;14;1996;87
5208707;52;1996;205
1100205;11;1996;88
2304400;23;1996;439
2927408;29;1996;759
5002704;50;1996;242
2800308;28;1996;88
3550308;35;1996;5471
4314902;43;1996;291
5300108;53;1996;615
1501402;15;1997;248
2927408;29;1997;827
1100205;11;1997;97
3106200;31;1997;376
2304400;23;1997;501
5300108;53;1997;613
1721000;17;1997;7
2408102;24;1997;97
2800308;28;1997;66
3205309;32;1997;206
2507507;25;1997;154
4106902;41;1997;335
1600303;16;1997;110
2704302;27;1997;235
4205407;42;1997;31
3304557;33;1997;2991
4314902;43;1997;363
1400100;14;1997;55
2611606;26;1997;999
1302603;13;1997;419
3550308;35;1997;5406
5208707;52;1997;175
5002704;50;1997;248
1200401;12;1997;86
5103403;51;1997;223
2111300;21;1997;160
2211001;22;1997;97
3106200;31;1998;467
5002704;50;1998;220
2507507;25;1998;165
3550308;35;1998;5886
2800308;28;1998;60
1400100;14;1998;88
1200401;12;1998;94
2927408;29;1998;318
5208707;52;1998;169
1302603;13;1998;490
1721000;17;1998;14
2211001;22;1998;110
5103403;51;1998;314
4314902;43;1998;305
2408102;24;1998;98
1501402;15;1998;279
3205309;32;1998;199
2704302;27;1998;204
5300108;53;1998;633
1600303;16;1998;120
4106902;41;1998;291
4205407;42;1998;26
1100205;11;1998;159
2611606;26;1998;1115
2111300;21;1998;123
3304557;33;1998;2941
2304400;23;1998;403
3304557;33;1999;2606
4106902;41;1999;355
3205309;32;1999;218
2111300;21;1999;100
4314902;43;1999;327
2408102;24;1999;54
2611606;26;1999;905
1302603;13;1999;442
2211001;22;1999;86
2800308;28;1999;109
2507507;25;1999;193
1100205;11;1999;170
2304400;23;1999;447
5208707;52;1999;250
5002704;50;1999;193
3550308;35;1999;6657
1200401;12;1999;40
5300108;53;1999;659
2927408;29;1999;166
5103403;51;1999;286
1721000;17;1999;24
1501402;15;1999;169
2704302;27;1999;204
3106200;31;1999;485
4205407;42;1999;29
1600303;16;1999;156
1400100;14;1999;94
1400100;14;2000;93
3550308;35;2000;6105
3304557;33;2000;2912
3205309;32;2000;159
3106200;31;2000;631
2927408;29;2000;289
2800308;28;2000;155
2704302;27;2000;302
2611606;26;2000;959
2507507;25;2000;191
5208707;52;2000;243
5103403;51;2000;317
5002704;50;2000;247
4314902;43;2000;408
4205407;42;2000;38
4106902;41;2000;336
2408102;24;2000;48
2304400;23;2000;525
2211001;22;2000;145
2111300;21;2000;130
1100205;11;2000;203
5300108;53;2000;687
1600303;16;2000;123
1501402;15;2000;281
1302603;13;2000;456
1200401;12;2000;89
1721000;17;2000;30
2304400;23;2001;527
4106902;41;2001;384
1200401;12;2001;95
5300108;53;2001;693
3304557;33;2001;2747
1721000;17;2001;40
2408102;24;2001;87
1600303;16;2001;125
2211001;22;2001;136
2927408;29;2001;484
1501402;15;2001;285
2111300;21;2001;211
4314902;43;2001;356
2704302;27;2001;388
2507507;25;2001;227
3205309;32;2001;181
1100205;11;2001;231
3550308;35;2001;6020
2611606;26;2001;1013
1302603;13;2001;373
5208707;52;2001;208
3106200;31;2001;677
1400100;14;2001;73
5002704;50;2001;215
4205407;42;2001;62
5103403;51;2001;336
2800308;28;2001;205
2611606;26;2002;929
1100205;11;2002;217
3106200;31;2002;775
4314902;43;2002;432
3550308;35;2002;5332
1721000;17;2002;30
1302603;13;2002;385
2800308;28;2002;183
5103403;51;2002;233
4106902;41;2002;437
2211001;22;2002;177
5208707;52;2002;321
3205309;32;2002;172
2927408;29;2002;546
2507507;25;2002;224
1501402;15;2002;323
3304557;33;2002;3175
5300108;53;2002;641
1200401;12;2002;117
2304400;23;2002;600
5002704;50;2002;205
2704302;27;2002;426
2111300;21;2002;168
4205407;42;2002;91
1600303;16;2002;132
2408102;24;2002;96
1400100;14;2002;85
2800308;28;2003;173
2704302;27;2003;435
1100205;11;2003;178
5002704;50;2003;229
4205407;42;2003;97
5103403;51;2003;235
